Participant Number,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Smoking,Alcohol,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Punctuality,Lying,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls,Internet usage,Finances,Shopping centres,Branded clothing,Entertainment spending,Spending on looks,Spending on gadgets,Spending on healthy eating,Age,Height,Weight,Number of siblings,Gender,Left - right handed,Education,Only child,Village - town,House - block of flats
24,5,3,4,2,2,2,4,4,5,2,3,3,3,3,3,1,4,1,1,5,2,4,5,5,4,3,5,5,3,2,2,2,2,3,2,3,4,3,2,5,5,5,3,4,4,2,3,2,2,3,5,5,3,2,4,3,3,4,3,5,5,3,5,2,4,5,3,3,3,2,3,3,3,tried smoking,social drinker,3,3,1,4,2,3,3,4,4,2,3,4,3,1,4,5,5,5,1,3,1,2,5,3,3,5,4,4,2,4,2,3,i am often running late,sometimes,3,2,4,3,2,2,4,4,1,4,4,3,4,4,4,2,3,4,5,5,3,2,4,few hours a day,2,3,4,3,4,2,4,20,168,54,3,female,right handed,secondary school,no,city,block of flats
25,5,2,3,1,1,4,3,3,5,5,5,1,1,1,2,3,2,3,4,5,4,2,5,5,2,2,2,2,3,1,4,4,5,5,2,1,5,4,2,3,2,4,4,5,4,5,3,4,2,5,5,4,3,4,5,3,4,5,5,5,5,3,3,1,1,2,1,5,5,4,5,5,5,tried smoking,never,4,5,2,5,4,5,2,3,5,1,5,2,2,5,3,5,4,5,2,5,2,3,5,5,4,5,5,5,4,2,3,2,i am often early,only to avoid hurting someone,1,2,4,5,4,3,1,5,5,5,5,5,5,5,2,4,1,3,4,5,5,4,5,few hours a day,3,5,5,4,5,5,5,19,167,51,1,female,right handed,secondary school,no,city,block of flats
26,5,3,4,2,1,2,3,5,1,1,1,3,1,2,1,1,4,2,1,5,1,2,5,5,1,1,4,3,3,1,1,2,2,1,3,1,5,2,5,1,1,4,2,5,1,3,1,2,1,2,4,1,1,3,4,1,5,5,1,3,5,1,3,3,2,2,3,5,2,1,4,4,2,tried smoking,social drinker,3,3,3,5,2,4,1,5,4,5,4,3,2,1,5,2,5,3,1,3,1,3,4,4,2,4,3,5,2,4,1,4,i am always on time,sometimes,2,3,4,4,2,2,2,4,4,4,3,4,4,5,4,3,1,3,2,2,2,4,3,few hours a day,2,5,1,3,3,1,2,20,170,56,1,female,right handed,secondary school,yes,city,block of flats
27,5,5,5,5,4,5,3,4,4,3,2,2,1,3,5,3,5,2,2,5,3,2,5,4,2,5,5,5,5,2,1,3,3,1,2,3,5,2,1,5,5,4,3,3,2,1,4,2,4,5,3,2,2,4,5,5,4,4,3,1,4,4,5,1,1,1,1,1,2,1,2,2,3,tried smoking,social drinker,3,3,4,4,4,5,4,4,4,3,5,5,2,1,4,5,5,4,2,4,3,4,5,5,4,5,2,3,5,4,3,4,i am often early,sometimes,4,4,4,3,3,3,3,5,4,2,4,5,3,4,4,3,5,4,3,4,5,5,4,few hours a day,5,4,4,4,4,4,3,22,165,63,1,female,left handed,college/bachelor degree,no,city,house/bungalow
28,4,5,3,4,1,3,2,2,4,2,4,2,4,2,3,4,3,4,2,5,2,4,3,4,5,3,2,4,5,2,5,2,2,3,1,3,4,2,2,5,5,2,2,4,4,1,1,2,,3,1,1,1,3,4,2,2,5,2,1,4,2,5,3,5,2,2,5,5,1,4,1,2,never smoked,social drinker,4,3,3,3,4,3,3,4,2,2,4,3,1,1,1,2,3,3,1,4,3,3,5,4,3,2,4,2,4,4,2,3,i am often early,sometimes,3,3,3,2,3,3,4,4,2,2,4,4,2,3,3,3,1,3,3,1,3,4,2,few hours a day,3,4,3,3,3,2,3,19,163,50,1,female,right handed,secondary school,no,city,house/bungalow
29,5,3,5,1,1,1,1,3,4,1,3,5,2,1,4,3,2,3,1,5,3,3,5,3,1,5,4,4,3,4,4,5,1,1,1,2,5,2,1,1,1,1,4,4,2,3,5,1,1,3,3,1,1,5,5,1,3,5,3,1,5,4,3,1,1,2,4,4,4,3,4,1,2,former smoker,social drinker,5,4,3,4,3,4,2,4,4,4,2,4,2,5,2,3,2,5,2,5,1,4,3,4,3,5,3,1,2,4,2,5,i am always on time,sometimes,3,5,2,5,4,2,4,4,5,1,5,4,4,1,5,5,5,5,2,5,5,3,1,few hours a day,3,4,5,3,4,1,5,20,187,80,2,male,left handed,secondary school,yes,village,house/bungalow
30,5,4,3,4,2,3,3,3,4,1,3,3,4,3,4,3,4,3,2,5,3,2,5,5,2,4,5,5,4,2,2,5,4,2,2,2,4,3,4,4,2,5,3,5,3,2,2,4,2,5,4,2,2,5,4,3,4,4,3,4,5,3,2,3,3,4,5,5,5,5,5,5,3,tried smoking,social drinker,3,4,5,5,5,5,2,3,4,2,5,4,2,2,4,3,5,4,2,5,1,4,5,5,3,5,4,3,4,3,2,4,i am often running late,sometimes,3,3,4,5,4,3,4,4,4,4,4,5,5,5,4,4,2,4,3,4,4,3,3,few hours a day,4,3,1,4,3,2,4,19,168,60,2,female,right handed,secondary school,no,village,block of flats
31,4,3,4,3,3,3,3,4,4,2,2,4,3,4,3,3,3,3,3,5,2,5,4,3,4,4,3,3,4,3,5,2,3,3,1,1,4,3,3,3,1,4,4,4,4,4,4,2,2,4,1,1,1,1,5,1,2,4,4,2,5,4,3,1,1,1,3,5,3,3,4,3,4,former smoker,drink a lot,3,1,2,2,1,3,3,4,4,5,5,4,2,5,3,1,3,3,1,2,2,4,4,4,2,5,4,3,5,3,2,4,i am always on time,everytime it suits me,2,3,3,4,3,3,5,3,4,3,3,3,5,3,4,3,3,3,2,3,4,3,3,few hours a day,2,3,5,4,4,4,4,25,183,87,1,male,right handed,secondary school,no,city,block of flats
32,4,3,4,1,3,2,3,5,3,1,1,3,3,2,1,1,5,1,2,4,1,1,5,5,2,2,5,5,4,1,1,4,4,2,2,2,3,2,2,2,2,5,5,4,1,1,3,4,1,5,4,1,2,3,1,3,1,2,1,3,4,2,1,1,1,1,1,2,5,3,1,3,2,tried smoking,social drinker,3,3,3,4,3,4,4,4,5,2,3,1,2,1,4,4,2,3,1,5,2,3,4,5,2,3,2,3,5,3,2,3,i am always on time,sometimes,3,3,4,3,3,2,1,4,4,3,3,4,3,4,4,4,3,3,3,3,3,3,2,less than an hour a day,4,3,3,2,2,2,2,22,177,80,1,female,right handed,secondary school,no,city,block of flats
33,5,5,3,1,3,2,3,3,4,3,4,4,2,2,4,4,2,3,1,5,5,5,5,5,2,3,5,5,3,2,4,4,5,3,1,1,5,4,3,1,1,3,3,3,1,2,3,4,2,2,1,2,1,2,2,1,4,5,3,3,5,1,5,3,5,5,5,5,5,5,1,5,2,current smoker,social drinker,3,3,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,5,1,5,1,1,5,5,1,5,1,1,3,3,1,5,i am always on time,only to avoid hurting someone,2,5,2,2,4,2,3,3,4,1,3,4,3,3,4,5,1,4,1,5,5,3,3,few hours a day,1,3,1,4,5,1,1,20,158,46,4,female,left handed,secondary school,no,city,block of flats
34,5,4,2,2,3,4,5,4,3,1,1,1,3,4,4,3,2,1,5,4,3,4,4,3,1,3,5,4,5,2,3,5,3,5,2,1,5,4,4,4,3,5,5,5,5,4,1,5,1,5,3,3,1,5,4,4,3,3,3,4,5,5,5,1,5,2,4,4,5,3,1,2,4,tried smoking,social drinker,4,5,2,2,3,1,1,5,5,2,4,4,2,2,1,5,5,5,2,4,2,3,4,5,3,4,2,1,1,4,4,4,i am often early,sometimes,3,5,3,3,3,5,1,4,5,2,5,4,5,4,5,5,2,3,4,1,5,4,2,few hours a day,2,2,2,1,1,2,4,27,170,70,1,female,right handed,masters degree,no,city,block of flats
35,5,4,3,2,1,3,4,4,5,3,4,2,3,3,4,4,2,1,1,5,2,3,5,4,4,2,2,5,3,1,5,4,5,4,3,1,5,4,4,3,1,3,2,5,3,2,5,3,5,5,2,3,2,5,3,1,1,3,5,3,5,5,1,1,2,2,1,2,2,2,1,2,3,tried smoking,social drinker,3,5,3,1,5,3,5,4,4,4,5,5,1,1,3,5,4,3,1,2,2,3,1,3,2,2,2,4,5,4,4,4,i am often early,sometimes,4,3,2,3,4,3,3,3,4,1,4,4,4,1,3,5,3,3,5,2,3,2,2,few hours a day,3,3,4,3,3,1,2,20,177,67,5,male,right handed,college/bachelor degree,no,city,block of flats
36,5,3,3,3,1,4,5,5,3,1,1,4,3,1,3,3,5,1,1,5,1,2,5,5,3,4,1,1,1,1,5,1,1,1,1,1,5,3,1,1,1,5,3,5,1,5,4,2,3,3,4,1,1,3,3,3,3,4,2,5,5,2,5,3,5,3,3,4,5,4,5,5,1,tried smoking,social drinker,3,3,2,1,1,2,1,5,3,2,3,4,1,1,3,5,1,5,1,4,2,5,5,4,3,5,3,1,5,4,1,3,i am always on time,sometimes,1,5,2,3,2,3,5,3,3,2,3,5,3,3,5,5,3,3,3,5,2,3,1,few hours a day,3,5,3,5,3,1,3,19,170,72,1,female,right handed,secondary school,no,village,house/bungalow
37,5,3,1,3,2,3,4,4,4,1,1,1,1,1,1,1,1,1,4,5,3,5,4,4,4,4,5,5,3,1,5,4,5,3,3,3,5,3,2,5,5,5,3,4,5,3,4,3,2,4,1,1,1,2,1,2,4,4,4,4,5,1,5,3,1,4,3,5,4,1,3,2,5,never smoked,social drinker,2,3,3,3,3,4,3,5,5,4,5,2,4,1,3,3,4,4,1,5,4,3,5,5,2,4,3,1,1,4,4,2,i am often early,only to avoid hurting someone,2,3,4,4,1,3,4,5,2,3,1,5,2,4,4,3,3,4,3,2,3,5,4,few hours a day,5,4,4,4,3,2,3,18,173,65,1,female,right handed,secondary school,no,city,block of flats
